day,month,year,Temperature,RH,Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
25,11,2012,28,86,41,0,92.6,50,81.5,12.4,78.8,21.4,not fire
26,11,2012,28,87,42,0,92.7,50.9,81.7,12.6,80,21.7,not fire
27,11,2012,28,87,43,0,92.8,51.8,81.9,12.8,81.2,22.1,not fire
28,11,2012,28,88,44,0,92.9,52.6,82.1,13,82.4,22.4,not fire
29,11,2012,28,89,45,0,93,53.5,82.3,13.2,83.6,22.8,not fire
30,11,2012,28,90,46,0,93.1,54.4,82.5,13.4,84.8,23.1,not fire
01,12,2012,27,83,20,0,90.2,36.5,79.2,8.1,55.9,14.4,not fire
02,12,2012,27,84,21,0,90.3,37.4,79.4,8.3,57.1,14.8,not fire
03,12,2012,27,85,22,0,90.4,38.3,79.6,8.5,58.3,15.1,not fire
04,12,2012,27,86,23,0,90.5,39.2,79.8,8.7,59.5,15.5,not fire
05,12,2012,27,86,24,0,90.6,40.1,80,8.9,60.7,15.8,not fire
06,12,2012,27,87,25,0,90.7,40.9,80.2,9.1,61.9,16.2,not fire
07,12,2012,27,88,26,0,90.8,41.8,80.4,9.3,63.1,16.5,not fire
08,12,2012,27,89,27,0,90.9,42.7,80.6,9.5,64.3,16.9,not fire
09,12,2012,27,90,28,0,91,43.6,80.8,9.7,65.5,17.2,not fire
10,12,2012,27,90,29,0,91.1,44.5,81,9.9,66.7,17.6,not fire
11,12,2012,27,91,30,0,91.2,45.4,81.2,10.1,67.9,17.9,not fire
12,12,2012,27,92,31,0,91.3,46.3,81.4,10.3,69.1,18.3,not fire
13,12,2012,27,93,32,0,91.4,47.1,81.6,10.5,70.3,18.6,not fire
14,12,2012,27,94,33,0,91.5,48,81.8,10.7,71.5,19,not fire
15,12,2012,27,94,34,0,91.6,48.9,82,10.9,72.7,19.3,not fire
16,12,2012,27,95,35,0,91.7,49.8,82.2,11.1,73.9,19.7,not fire
17,12,2012,27,96,36,0,91.8,50.7,82.4,11.3,75.1,20,not fire
18,12,2012,27,97,37,0,91.9,51.6,82.6,11.5,76.3,20.4,not fire
19,12,2012,27,98,38,0,92,52.4,82.8,11.7,77.5,20.7,not fire
20,12,2012,27,98,39,0,92.1,53.3,83,11.9,78.7,21.1,not fire
21,12,2012,27,99,40,0,92.2,54.2,83.2,12.1,79.9,21.4,not fire
22,12,2012,27,100,41,0,92.3,55.1,83.4,12.3,81.1,21.8,not fire
23,12,2012,27,100,42,0,92.4,56,83.6,12.5,82.3,22.1,not fire
24,12,2012,27,101,43,0,92.5,56.9,83.8,12.7,83.5,22.5,not fire
25,12,2012,27,102,44,0,92.6,57.8,84,12.9,84.7,22.8,not fire
26,12,2012,27,103,45,0,92.7,58.7,84.2,13.1,85.9,23.2,not fire
27,12,2012,27,104,46,0,92.8,59.6,84.4,13.3,87.1,23.5,not fire
28,12,2012,27,105,47,0,92.9,60.5,84.6,13.5,88.3,23.9,not fire
29,12,2012,27,106,48,0,93,61.4,84.8,13.7,89.5,24.2,not fire
30,12,2012,27,107,49,0,93.1,62.3,85,13.9,90.7,24.6,not fire
31,12,2012,27,108,50,0,93.2,63.2,85.2,14.1,91.9,24.9,not fire
01,01,2013,34,79,18,0.9,74.4,7.6,24.6,1.4,10.1,1.1,not fire
02,01,2013,33,76,17,0.6,72.8,6.7,21.6,0.8,8.8,0.7,not fire
03,01,2013,32,75,18,0.7,70.7,5.8,19.3,0.6,7.9,0.5,not fire
04,01,2013,31,73,19,0.3,68.9,4.9,16.7,0.5,6.9,0.4,not fire
05,01,2013,30,71,20,0,67.3,4.0,14.8,0.3,6.1,0.3,not fire
06,01,2013,31,69,19,0.2,69.6,3.2,12.2,0.3,5.5,0.2,not fire
07,01,2013,32,70,18,0,71.2,4.5,15.1,0.4,6.5,0.3,not fire
08,01,2013,33,72,17,0,72.8,5.7,18.6,0.8,7.8,0.6,not fire
09,01,2013,34,74,16,0,74.4,7.1,22.9,1.0,9.4,0.9,not fire
10,01,2013,35,76,15,0.1,75.9,8.6,28.1,1.5,11.0,1.3,not fire
11,01,2013,36,78,14,0.3,77.3,10.2,33.8,1.8,12.6,1.7,not fire
12,01,2013,34,80,17,0,75.4,11.8,40.2,2.5,15.4,2.4,not fire
13,01,2013,33,82,18,0.2,73.9,10.5,35.1,1.8,13.8,1.6,not fire
14,01,2013,32,85,19,0.7,72.4,8.7,28.9,1.0,11.2,0.9,not fire
15,01,2013,31,87,20,0.4,70.8,7.1,24.5,0.8,9.7,0.7,not fire
16,01,2013,30,88,21,0.1,69.3,5.7,19.3,0.5,8.0,0.5,not fire
17,01,2013,29,90,22,0,67.8,4.5,15.3,0.3,6.7,0.3,not fire
18,01,2013,28,91,23,0,66.3,3.4,12.1,0.2,5.5,0.2,not fire
19,01,2013,27,92,24,0,64.8,2.3,9.9,0.1,4.4,0.1,not fire
20,01,2013,26,93,25,0,63.3,1.5,7.7,0.1,3.4,0.1,not fire
21,01,2013,25,94,26,0,61.8,0.9,5.7,0.1,2.5,0.1,not fire
22,01,2013,24,95,27,0,60.3,0.5,3.9,0.1,1.8,0.1,not fire
23,01,2013,23,96,28,0,58.8,0.3,2.2,0,1.2,0,not fire
24,01,2013,22,97,29,0,57.3,0.1,1.2,0,0.6,0,not fire
25,01,2013,21,98,30,0,55.8,0,0.4,0,0.2,0,not fire
26,01,2013,20,99,31,0,54.3,0,0.1,0,0,0,not fire
27,01,2013,19,100,32,0,52.8,0,0,0,0,0,not fire
28,01,2013,18,101,33,0,51.3,0,0,0,0,0,not fire
29,01,2013,17,102,34,0,49.8,0,0,0,0,0,not fire
30,01,2013,16,103,35,0,48.3,0,0,0,0,0,not fire
31,01,2013,15,104,36,0,46.8,0,0,0,0,0,not fire
01,02,2013,14,105,37,0,45.3,0,0,0,0,0,not fire
02,02,2013,13,106,38,0,43.8,0,0,0,0,0,not fire
03,02,2013,12,107,39,0,42.3,0,0,0,0,0,not fire
04,02,2013,11,108,40,0,40.8,0,0,0,0,0,not fire
05,02,2013,10,109,41,0,39.3,0,0,0,0,0,not fire
06,02,2013,9,110,42,0,37.8,0,0,0,0,0,not fire
07,02,2013,8,111,43,0,36.3,0,0,0,0,0,not fire
08,02,2013,7,112,44,0,34.8,0,0,0,0,0,not fire
09,02,2013,6,113,45,0,33.3,0,0,0,0,0,not fire
10,02,2013,5,114,46,0,31.8,0,0,0,0,0,not fire
11,02,2013,4,115,47,0,30.3,0,0,0,0,0,not fire
12,02,2013,3,116,48,0,28.8,0,0,0,0,0,not fire
13,02,2013,2,117,49,0,27.3,0,0,0,0,0,not fire
14,02,2013,1,118,50,0,25.8,0,0,0,0,0,not fire
15,02,2013,0,119,51,0,24.3,0,0,0,0,0,not fire
16,02,2013,0,120,52,0,22.8,0,0,0,0,0,not fire
17,02,2013,0,121,53,0,21.3,0,0,0,0,0,not fire
18,02,2013,0,122,54,0,19.8,0,0,0,0,0,not fire
19,02,2013,0,123,55,0,18.3,0,0,0,0,0,not fire
20,02,2013,0,124,56,0,16.8,0,0,0,0,0,not fire
21,02,2013,0,125,57,0,15.3,0,0,0,0,0,not fire
22,02,2013,0,126,58,0,13.8,0,0,0,0,0,not fire
23,02,2013,0,127,59,0,12.3,0,0,0,0,0,not fire
24,02,2013,0,128,60,0,10.8,0,0,0,0,0,not fire
25,02,2013,0,129,61,0,9.3,0,0,0,0,0,not fire
26,02,2013,0,130,62,0,7.8,0,0,0,0,0,not fire
27,02,2013,0,131,63,0,6.3,0,0,0,0,0,not fire
28,02,2013,0,132,64,0,4.8,0,0,0,0,0,not fire
01,03,2013,0,133,65,0,3.3,0,0,0,0,0,not fire
02,03,2013,0,134,66,0,1.8,0,0,0,0,0,not fire
03,03,2013,0,135,67,0,0.3,0,0,0,0,0,not fire
04,03,2013,0,136,68,0,0,0,0,0,0,0,not fire
05,03,2013,0,137,69,0,0,0,0,0,0,0,not fire
06,03,2013,0,138,70,0,0,0,0,0,0,0,not fire
07,03,2013,0,139,71,0,0,0,0,0,0,0,not fire
08,03,2013,0,140,72,0,0,0,0,0,0,0,not fire
09,03,2013,0,141,73,0,0,0,0,0,0,0,not fire
10,03,2013,0,142,74,0,0,0,0,0,0,0,not fire
11,03,2013,0,143,75,0,0,0,0,0,0,0,not fire
12,03,2013,0,144,76,0,0,0,0,0,0,0,not fire
13,03,2013,0,145,77,0,0,0,0,0,0,0,not fire
14,03,2013,0,146,78,0,0,0,0,0,0,0,not fire
15,03,2013,0,147,79,0,0,0,0,0,0,0,not fire
16,03,2013,0,148,80,0,0,0,0,0,0,0,not fire
17,03,2013,0,149,81,0,0,0,0,0,0,0,not fire
18,03,2013,0,150,82,0,0,0,0,0,0,0,not fire
19,03,2013,0,151,83,0,0,0,0,0,0,0,not fire
20,03,2013,0,152,84,0,0,0,0,0,0,0,not fire
21,03,2013,0,153,85,0,0,0,0,0,0,0,not fire
22,03,2013,0,154,86,0,0,0,0,0,0,0,not fire
23,03,2013,0,155,87,0,0,0,0,0,0,0,not fire
24,03,2013,0,156,88,0,0,0,0,0,0,0,not fire
25,03,2013,0,157,89,0,0,0,0,0,0,0,not fire
26,03,2013,0,158,90,0,0,0,0,0,0,0,not fire
27,03,2013,0,159,91,0,0,0,0,0,0,0,not fire
28,03,2013,0,160,92,0,0,0,0,0,0,0,not fire
29,03,2013,0,161,93,0,0,0,0,0,0,0,not fire
30,03,2013,0,162,94,0,0,0,0,0,0,0,not fire
31,03,2013,0,163,95,0,0,0,0,0,0,0,not fire
01,04,2013,20,73,17,0,85,3.5,21.2,0.4,6.2,0.5,not fire
02,04,2013,21,72,18,0,85.1,3.9,22.5,0.5,6.8,0.7,not fire
03,04,2013,22,71,19,0,85.5,4.2,23.6,0.6,7.3,0.9,not fire
04,04,2013,23,70,20,0,86.3,4.5,24.8,0.7,7.7,1,not fire
05,04,2013,24,69,21,0,87.1,4.9,26.1,0.8,8.1,1.2,not fire
06,04,2013,25,68,22,0,88.5,5.3,27.5,0.9,8.6,1.4,not fire
07,04,2013,26,67,23,0,89.1,5.6,28.7,1,9,1.6,not fire
08,04,2013,27,66,24,0,89.7,6,30,1.1,9.5,1.8,not fire
09,04,2013,28,65,25,0,90.3,6.3,31.2,1.2,9.9,2,not fire
10,04,2013,29,64,26,0,90.7,6.6,32.4,1.3,10.3,2.2,not fire
11,04,2013,30,63,27,0,91.1,6.9,33.6,1.4,10.7,2.4,not fire
12,04,2013,31,62,28,0,91.4,7.2,34.8,1.5,11.1,2.6,not fire
13,04,2013,32,61,29,0,91.8,7.5,36,1.6,11.5,2.8,not fire
14,04,2013,33,60,30,0,92.2,7.8,37.2,1.7,11.9,3,not fire
15,04,2013,34,59,31,0,92.6,8.1,38.4,1.8,12.3,3.2,not fire
16,04,2013,35,58,32,0,93,8.4,39.6,1.9,12.7,3.4,not fire
17,04,2013,36,57,33,0,93.4,8.7,40.8,2,13.1,3.6,not fire
18,04,2013,37,56,34,0,93.8,9,42,2.1,13.5,3.8,not fire
19,04,2013,38,55,35,0,94.2,9.3,43.2,2.2,13.9,4,not fire
20,04,2013,39,54,36,0,94.6,9.6,44.4,2.3,14.3,4.2,not fire
21,04,2013,40,53,37,0,95,9.9,45.6,2.4,14.7,4.4,not fire
22,04,2013,41,52,38,0,95.4,10.2,46.8,2.5,15.1,4.6,not fire
23,04,2013,42,51,39,0,95.8,10.5,48,2.6,15.5,4.8,not fire
24,04,2013,43,50,40,0,96.2,10.8,49.2,2.7,15.9,5,not fire
25,04,2013,44,49,41,0,96.6,11.1,50.4,2.8,16.3,5.2,not fire
26,04,2013,45,48,42,0,97,11.4,51.6,2.9,16.7,5.4,not fire
27,04,2013,46,47,43,0,97.4,11.7,52.8,3,17.1,5.6,not fire
28,04,2013,47,46,44,0,97.8,12,54,3.1,17.5,5.8,not fire
29,04,2013,48,45,45,0,98.2,12.3,55.2,3.2,17.9,6,not fire
30,04,2013,49,44,46,0,98.6,12.6,56.4,3.3,18.3,6.2,not fire
01,05,2013,50,43,47,0,99,12.9,57.6,3.4,18.7,6.4,not fire
02,05,2013,51,42,48,0,99.4,13.2,58.8,3.5,19.1,6.6,not fire
03,05,2013,52,41,49,0,99.7,13.5,60,3.6,19.5,6.8,not fire
04,05,2013,53,40,50,0,100.1,13.8,61.2,3.7,19.9,7,not fire
05,05,2013,54,39,51,0,100.5,14.1,62.4,3.8,20.3,7.2,not fire
06,05,2013,55,38,52,0,100.9,14.4,63.6,3.9,20.7,7.4,not fire
07,05,2013,56,37,53,0,101.3,14.7,64.8,4,21.1,7.6,not fire
08,05,2013,57,36,54,0,101.7,15,66,4.1,21.5,7.8,not fire
09,05,2013,58,35,55,0,102.1,15.3,67.2,4.2,21.9,8,not fire
10,05,2013,59,34,56,0,102.5,15.6,68.4,4.3,22.3,8.2,not fire
11,05,2013,60,33,57,0,102.9,15.9,69.6,4.4,22.7,8.4,not fire
12,05,2013,61,32,58,0,103.3,16.2,70.8,4.5,23.1,8.6,not fire
13,05,2013,62,31,59,0,103.7,16.5,72,4.6,23.5,8.8,not fire
14,05,2013,63,30,60,0,104.1,16.8,73.2,4.7,23.9,9,not fire
15,05,2013,64,29,61,0,104.5,17.1,74.4,4.8,24.3,9.2,not fire
16,05,2013,65,28,62,0,104.9,17.4,75.6,4.9,24.7,9.4,not fire
17,05,2013,66,27,63,0,105.3,17.7,76.8,5,25.1,9.6,not fire
18,05,2013,67,26,64,0,105.7,18,78,5.1,25.5,9.8,not fire
19,05,2013,68,25,65,0,106.1,18.3,79.2,5.2,25.9,10,not fire
20,05,2013,69,24,66,0,106.5,18.6,80.4,5.3,26.3,10.2,not fire
21,05,2013,70,23,67,0,106.9,18.9,81.6,5.4,26.7,10.4,not fire
22,05,2013,71,22,68,0,107.3,19.2,82.8,5.5,27.1,10.6,not fire
23,05,2013,72,21,69,0,107.7,19.5,84,5.6,27.5,10.8,not fire
24,05,2013,73,20,70,0,108.1,19.8,85.2,5.7,27.9,11,not fire
25,05,2013,74,19,71,0,108.5,20.1,86.4,5.8,28.3,11.2,not fire
26,05,2013,75,18,72,0,108.9,20.4,87.6,5.9,28.7,11.4,not fire
27,05,2013,76,17,73,0,109.3,20.7,88.8,6,29.1,11.6,not fire
28,05,2013,77,16,74,0,109.7,21,90,6.1,29.5,11.8,not fire
29,05,2013,78,15,75,0,110.1,21.3,91.2,6.2,29.9,12,not fire
30,05,2013,79,14,76,0,110.5,21.6,92.4,6.3,30.3,12.2,not fire
31,05,2013,80,13,77,0,110.9,21.9,93.6,6.4,30.7,12.4,not fire
01,06,2013,30,65,14,0,85.7,3.8,10.1,2.1,4.8,0.9,not fire
02,06,2013,29,72,13,0.5,82.9,4.2,11.7,1.5,5.2,0.7,not fire
03,06,2013,27,80,12,1.2,78.4,3.1,9.9,0.7,3.8,0.3,not fire
04,06,2013,26,84,14,0.3,77.6,2.5,8.3,0.4,3.2,0.2,not fire
05,06,2013,28,75,16,0.7,79.5,3.3,12.5,0.9,4.5,0.6,not fire
06,06,2013,31,68,13,0,84.3,5.7,20.1,3.2,7.2,2.4,fire
07,06,2013,33,60,12,0,86.9,8.6,28.5,5.5,9.5,5.1,fire
08,06,2013,32,65,14,0,87.5,10.4,34.6,4.2,11.4,5.3,fire
09,06,2013,28,77,13,0.4,79.3,7.2,31.2,1.1,9.3,1.2,not fire
10,06,2013,30,74,15,0,81.2,9.1,42.8,2.3,11.8,2.8,not fire
11,06,2013,32,70,16,0,83.6,11.3,49.6,3.7,14.5,4.7,fire
12,06,2013,27,78,18,0,78.8,12.7,57.4,3.1,16.9,5.9,fire
13,06,2013,29,80,19,0.8,70.2,5.3,18.4,0.6,7.1,0.5,not fire
14,06,2013,31,76,17,0.2,72.4,4.8,14.2,1.1,6.3,0.7,not fire
15,06,2013,28,82,16,1.0,66.3,3.6,12.3,0.5,5.1,0.4,not fire
16,06,2013,29,85,15,0.5,64.1,2.9,9.8,0.3,4.2,0.2,not fire
17,06,2013,30,80,18,0,69.7,3.8,10.9,0.8,5.6,0.4,not fire
18,06,2013,32,78,17,0,73.5,5.1,15.7,1.4,7.2,1.1,not fire
19,06,2013,34,70,16,0,77.9,6.7,22.4,2.8,9.2,2.1,not fire
20,06,2013,33,66,14,0,80.8,8.4,28.9,4.1,11.5,3.3,fire
21,06,2013,31,64,13,0,82.1,10.6,35.4,3.6,14.2,4.2,fire
22,06,2013,32,68,15,0,83.2,12.3,41.8,4.7,16.7,5.4,fire
23,06,2013,30,70,17,0.1,76.4,8.8,30.1,1.8,11.8,2.2,not fire
24,06,2013,31,72,16,0,78.9,10.4,36.5,2.5,14.0,3.1,not fire
25,06,2013,29,74,18,0,75.6,11.7,42.8,1.9,16.1,2.5,not fire
26,06,2013,30,69,17,0,77.8,13.4,49.1,2.6,18.7,3.6,not fire
27,06,2013,32,64,14,0,81.1,15.2,55.4,4.8,21.0,5.0,fire
28,06,2013,33,61,15,0,82.6,18.1,62.8,5.7,23.6,6.8,fire
29,06,2013,31,68,13,0.3,79.9,12.5,54.2,1.5,19.5,2.4,not fire
30,06,2013,32,70,14,0,81.4,14.2,61.5,2.7,22.2,3.9,fire
01,07,2013,30,66,15,0.8,76.3,6.3,24.8,1.0,9.2,0.8,not fire
02,07,2013,28,74,16,1.1,73.1,5.8,23.1,0.9,8.5,0.6,not fire
03,07,2013,30,78,17,0.6,75.9,6.2,25.5,1.4,10.3,1.1,not fire
04,07,2013,31,70,16,0,78.8,8.4,32.6,3.2,14.1,3.0,not fire
05,07,2013,32,68,15,0,80.6,10.3,39.7,4.3,17.3,4.2,fire
06,07,2013,33,65,14,0,82.4,12.7,48.9,5.4,20.9,6.2,fire
07,07,2013,34,62,13,0.2,78.1,9.8,35.4,2.6,14.7,2.5,not fire
08,07,2013,33,64,15,0,80.9,12.5,43.7,4.5,18.5,5.1,fire
09,07,2013,32,68,14,1.3,72.5,6.7,14.6,1.1,7.8,0.9,not fire
10,07,2013,33,69,13,0.5,73.2,7.5,17.9,1.3,8.9,1.1,not fire
11,07,2013,34,71,14,0,76.5,9.2,25.7,2.5,11.2,2.3,not fire
12,07,2013,31,68,13,0.2,74.4,8.1,23.8,1.8,10.2,1.5,not fire
13,07,2013,32,73,15,0,78.6,10.5,34.9,3.1,15.1,3.4,not fire
14,07,2013,31,70,16,0.4,72.7,7.8,25.6,1.4,10.7,1.3,not fire
15,07,2013,30,74,17,0.2,68.5,6.4,19.7,1.2,8.9,0.7,not fire
16,07,2013,29,76,18,0,70.9,7.2,22.5,0.9,10.8,0.8,not fire
17,07,2013,30,78,17,0.6,73.4,8.1,27.8,1.6,12.9,1.5,not fire
18,07,2013,31,72,15,0.2,75.8,10.4,35.4,2.9,17.6,3.2,not fire
19,07,2013,33,68,14,0,78.3,12.1,43.2,3.8,21.3,4.5,fire
20,07,2013,34,64,13,0,81.7,14.5,52.6,5.2,26.4,6.1,fire
21,07,2013,35,60,12,0,83.9,17.3,63.1,6.5,31.8,7.6,fire
22,07,2013,33,66,13,0.1,79.4,13.2,44.8,2.8,20.1,3.5,not fire
23,07,2013,32,70,14,0.3,76.2,11.4,35.1,2.3,16.2,2.8,not fire
24,07,2013,30,74,16,0,71.8,9.3,26.4,1.6,12.5,1.4,not fire
25,07,2013,29,78,17,0.4,69.2,8.1,21.3,0.9,10.8,0.9,not fire
26,07,2013,31,75,16,0.7,73.9,10.7,31.2,1.8,15.3,2.2,not fire
27,07,2013,32,71,15,0,78.5,12.5,40.6,3.1,20.4,3.6,fire
28,07,2013,33,69,14,0,82.3,14.8,49.7,4.2,25.1,4.8,fire
29,07,2013,34,66,13,0.2,84.1,17.3,59.4,5.6,30.3,6.7,fire
30,07,2013,32,70,14,0,80.7,14.1,48.3,3.7,24.6,3.9,fire
31,07,2013,31,73,15,0.5,77.2,10.8,37.9,2.6,19.2,2.9,not fire
01,08,2013,29,63,3.6,0,92.1,95.5,855.3,9.2,47.4,13.2,not fire
02,08,2013,30,59,2.5,0,92.5,99.4,832.5,8.5,45.2,12.1,not fire
03,08,2013,30,57,2.3,0,92.8,104.5,803.3,8,43.5,11.4,not fire
04,08,2013,30,55,2.1,0,93.1,107.8,766.8,7.7,42,11,not fire
05,08,2013,29,58,2.7,0,92.8,110.5,728.6,7.6,41,10.8,not fire
06,08,2013,29,61,3.6,0,92.4,112.7,694.8,7.5,40.3,10.7,not fire
07,08,2013,29,63,3.8,0,92.1,114.2,664.2,7.4,39.8,10.6,not fire
08,08,2013,29,63,3.3,0,91.8,115.4,635.3,7.3,39.4,10.5,not fire
09,08,2013,28,68,2.7,0,91.5,116.1,609.5,7.2,39.2,10.4,not fire
10,08,2013,28,69,2.6,0,91.2,116.6,586.3,7.1,39,10.4,not fire
11,08,2013,28,72,2.3,0,90.8,116.9,565.6,7,38.9,10.3,not fire
12,08,2013,28,70,1.9,0,90.4,117,547.2,6.8,38.8,10.3,not fire
13,08,2013,28,69,2.4,0,90.1,117,530.9,6.7,38.7,10.2,not fire
14,08,2013,28,70,2.7,0,89.7,116.9,516.6,6.6,38.7,10.2,not fire
15,08,2013,28,70,2.9,0,89.3,116.7,503.8,6.5,38.6,10.2,not fire
16,08,2013,28,72,2.7,0,89,116.5,492.5,6.4,38.5,10.1,not fire
17,08,2013,28,73,2.3,0,88.6,116.2,482.4,6.3,38.4,10.1,not fire
18,08,2013,28,73,1.9,0,88.3,115.9,473.4,6.2,38.3,10.1,not fire
19,08,2013,28,72,1.8,0,87.9,115.6,465.4,6.1,38.2,10,not fire
20,08,2013,28,70,2.3,0,87.6,115.3,458.3,6,38.1,10,not fire
21,08,2013,28,70,2.7,0,87.2,115,451.9,5.9,38,9.9,not fire
22,08,2013,28,72,2.3,0,86.9,114.7,446.1,5.8,37.9,9.9,not fire
23,08,2013,28,73,2,0,86.5,114.4,440.8,5.7,37.8,9.9,not fire
24,08,2013,28,72,2.1,0,86.2,114.2,435.9,5.6,37.7,9.8,not fire
25,08,2013,28,72,2.5,0,85.8,113.9,431.3,5.5,37.6,9.8,not fire
26,08,2013,28,74,2.2,0,85.5,113.7,426.9,5.4,37.5,9.8,not fire
27,08,2013,28,76,2.1,0,85.1,113.4,422.8,5.3,37.4,9.7,not fire
28,08,2013,28,78,1.9,0,84.8,113.2,419,5.2,37.4,9.7,not fire
29,08,2013,28,78,1.9,0,84.4,113,415.3,5.1,37.3,9.7,not fire
30,08,2013,28,79,1.9,0,84.1,112.8,411.9,5,37.2,9.7,not fire
31,08,2013,28,80,1.8,0,83.7,112.6,408.6,5,37.1,9.6,not fire
01,09,2013,28,78,2.1,0,83.5,112.4,405.6,4.9,37.1,9.6,not fire
02,09,2013,28,79,1.9,0,83.2,112.2,402.6,4.9,37,9.6,not fire
03,09,2013,28,80,2.3,0,82.8,112,399.6,4.9,36.9,9.6,not fire
04,09,2013,28,80,2.7,0,82.5,111.8,396.7,4.9,36.8,9.6,not fire
05,09,2013,28,79,2.5,0,82.2,111.6,393.8,4.9,36.7,9.5,not fire
06,09,2013,28,80,2.2,0,81.9,111.4,391.1,4.8,36.6,9.5,not fire
07,09,2013,28,80,2,0,81.6,111.2,388.4,4.8,36.6,9.5,not fire
08,09,2013,28,81,1.9,0,81.3,111,385.8,4.8,36.5,9.5,not fire
09,09,2013,28,81,1.9,0,81,110.8,383.2,4.8,36.4,9.5,not fire
10,09,2013,28,82,1.8,0,80.7,110.6,380.7,4.7,36.3,9.4,not fire
11,09,2013,28,82,1.8,0,80.4,110.5,378.2,4.7,36.3,9.4,not fire
12,09,2013,28,83,1.7,0,80.1,110.3,375.8,4.7,36.2,9.4,not fire
13,09,2013,28,83,1.7,0,79.8,110.1,373.4,4.7,36.1,9.4,not fire
14,09,2013,28,84,1.6,0,79.5,109.9,371,4.7,36.1,9.4,not fire
15,09,2013,28,84,1.5,0,79.2,109.7,368.7,4.6,36,9.3,not fire
16,09,2013,28,85,1.4,0,78.9,109.5,366.5,4.6,36,9.3,not fire
17,09,2013,28,86,1.4,0,78.6,109.3,364.3,4.6,35.9,9.3,not fire
18,09,2013,28,87,1.3,0,78.3,109.1,362.1,4.6,35.9,9.3,not fire
19,09,2013,28,88,1.2,0,78,109,360,4.6,35.8,9.3,not fire
20,09,2013,28,89,1.1,0,77.7,108.8,357.9,4.6,35.8,9.3,not fire
21,09,2013,28,90,1.1,0,77.4,108.6,355.9,4.5,35.7,9.3,not fire
22,09,2013,28,90,1,0,77.1,108.4,354,4.5,35.7,9.3,not fire
23,09,2013,28,91,1,0,76.8,108.3,352,4.5,35.6,9.2,not fire
24,09,2013,28,92,1,0,76.6,108.1,350.1,4.5,35.6,9.2,not fire
25,09,2013,28,92,1,0,76.3,107.9,348.3,4.5,35.5,9.2,not fire
26,09,2013,28,93,0.9,0,76,107.8,346.4,4.5,35.5,9.2,not fire
27,09,2013,28,93,0.9,0,75.8,107.6,344.6,4.4,35.4,9.2,not fire
28,09,2013,28,94,0.8,0,75.5,107.5,342.8,4.4,35.4,9.2,not fire
29,09,2013,28,94,0.8,0,75.3,107.3,341,4.4,35.3,9.2,not fire
30,09,2013,28,95,0.8,0,75,107.2,339.3,4.4,35.3,9.2,not fire
01,10,2013,274,69,171,0,1063.2,28.2,259.2,9.4,52.2,29.5,fire
02,10,2013,275,68,172,0,1063.6,28.5,260.4,9.5,52.6,29.7,fire
03,10,2013,276,67,173,0,1064,28.8,261.6,9.6,53,29.9,fire
04,10,2013,277,66,174,0,1064.4,29.1,262.8,9.7,53.4,30.1,fire
05,10,2013,278,65,175,0,1064.8,29.4,264,9.8,53.8,30.3,fire
06,10,2013,279,64,176,0,1065.2,29.7,265.2,9.9,54.2,30.5,fire
07,10,2013,280,63,177,0,1065.6,30,266.4,10,54.6,30.7,fire
08,10,2013,281,62,178,0,1066,30.3,267.6,10.1,55,30.9,fire
09,10,2013,282,61,179,0,1066.4,30.6,268.8,10.2,55.4,31.1,fire
10,10,2013,283,60,180,0,1066.8,30.9,270,10.3,55.8,31.3,fire
11,10,2013,284,59,181,0,1067.2,31.2,271.2,10.4,56.2,31.5,fire
12,10,2013,285,58,182,0,1067.6,31.5,272.4,10.5,56.6,31.7,fire
13,10,2013,286,57,183,0,1068,31.8,273.6,10.6,57,31.9,fire
14,10,2013,287,56,184,0,1068.4,32.1,274.8,10.7,57.4,32.1,fire
15,10,2013,288,55,185,0,1068.8,32.4,276,10.8,57.8,32.3,fire
16,10,2013,289,54,186,0,1069.2,32.7,277.2,10.9,58.2,32.5,fire
17,10,2013,290,53,187,0,1069.6,33,278.4,11,58.6,32.7,fire
18,10,2013,291,52,188,0,1070,33.3,279.6,11.1,59,32.9,fire
19,10,2013,292,51,189,0,1070.4,33.6,280.8,11.2,59.4,33.1,fire
20,10,2013,293,50,190,0,1070.8,33.9,282,11.3,59.8,33.3,fire
21,10,2013,294,49,191,0,1071.2,34.2,283.2,11.4,60.2,33.5,fire
22,10,2013,295,48,192,0,1071.6,34.5,284.4,11.5,60.6,33.7,fire
23,10,2013,296,47,193,0,1072,34.8,285.6,11.6,61,33.9,fire
24,10,2013,297,46,194,0,1072.4,35.1,286.8,11.7,61.4,34.1,fire
25,10,2013,298,45,195,0,1072.8,35.4,288,11.8,61.8,34.3,fire
26,10,2013,299,44,196,0,1073.2,35.7,289.2,11.9,62.2,34.5,fire
27,10,2013,300,43,197,0,1073.6,36,290.4,12,62.6,34.7,fire
28,10,2013,301,42,198,0,1074,36.3,291.6,12.1,63,34.9,fire
29,10,2013,302,41,199,0,1074.4,36.6,292.8,12.2,63.4,35.1,fire
30,10,2013,303,40,200,0,1074.8,36.9,294,12.3,63.8,35.3,fire
31,10,2013,304,39,201,0,1075.2,37.2,295.2,12.4,64.2,35.5,fire
01,11,2013,305,38,202,0,1075.6,37.5,296.4,12.5,64.6,35.7,fire
